ASFIS species (Name),FAO major fishing area (Name),Unit (Name),Unit,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S
Crevalle jack,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",1,,1,,6,,7,,4,,3,,4,,2,,3,,4,,8,
Dealfish,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",8,,0,...,1,,0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,N
Florida pompano,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",7,,8,,11,,7,,6,,10,,10,,10,,8,,14,,6,
Greater amberjack,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,...,0,...,3,,10,,48,,36,,36,,37,,28,,21,,44,
Gulf butterfishes nei,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",36,,27,,58,,42,,48,,41,,52,,58,,22,,17,,14,
Lesser amberjack,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,N,0,N,1,,1,,1,,0,N,1,,0,N
Longfin yellowtail,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",19,,11,,24,,9,,24,,11,,22,,19,,35,,25,,23,
Lookdown,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",1,,0,N,2,,1,,1,,1,,0,N,1,,2,,3,,2,
Opah,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N
Permit,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,N,0,...,0,...,0,...,0,N,0,N,0,N,0,N
Rainbow runner,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,N,0,N
Red-eye round herring,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,...,0,...
Ribbonfishes,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,...,2,,24,,28,,6,,17,,5,,5,,3,,22,,18,
Rough scad,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Silversides(=Sand smelts) nei,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,...,0,...,1,,7,,8,,19,,44,,18,,10,,3,,0,...
